v,e,op
3,6,1
4,8,2
5,14,12
6,14,17
7,24,37
8,32,80
9,40,162
10,56,307
11,54,418
12,74,629
13,74,894
14,100,1450
15,108,2031
16,136,2989
17,150,4080
18,120,4637
19,218,7187
20,218,9529
21,240,12326
22,236,15423
23,216,17256
24,248,20215
25,248,23008
26,354,29458
27,304,33937
28,458,45291
29,532,61416
30,456,72466
31,424,80559
32,640,103110
33,532,118046
34,514,129508
35,590,145496
36,782,180964
37,538,196339
38,832,234298
39,820,269273
40,676,290034
41,866,331400
42,804,364159
43,990,416800
44,866,454024
45,1122,520143
46,1044,580577
47,1320,684640
48,1108,743999
49,1082,803006
