v,e,op
0,0,0
0,0,0
0,0,0
3,6,18
4,6,42
5,8,82
6,12,154
7,14,252
8,30,492
9,34,798
10,46,1258
11,76,2094
12,76,3006
13,104,4358
14,106,5842
15,102,7372
16,104,9036
17,172,11960
18,138,14444
19,184,17940
20,148,20900
21,210,25310
22,276,31382
23,274,37684
24,270,44164
25,286,51314
26,362,60726
27,354,70284
28,384,81036
29,388,92288
30,388,103928
31,416,116824
32,496,132696
33,534,150318
34,600,170718
35,600,191718
36,742,218430
37,582,239964
38,610,263144
39,792,294032
40,862,328512
41,748,359180
42,956,399332
43,890,437602
44,948,479314
45,858,517924
46,1096,568340
47,1184,623988
48,1168,680052
49,1264,741988
50,1178,800888
51,1418,873206
52,1420,947046
53,1452,1024002
54,1320,1095282
55,1348,1169422
56,1728,1266190
57,1552,1354654
58,1780,1457894
59,1498,1546276
60,1798,1654156
61,1810,1764566
62,1882,1881250
63,1638,1984444
64,1954,2109500
