v,e,op
0,0,0
0,0,0
0,0,0
3,3,81
4,3,189
5,4,429
6,6,1077
7,7,2106
8,15,7506
9,17,15309
10,23,31179
11,38,78831
12,38,130815
13,52,236271
14,53,354249
15,51,471294
16,52,601086
17,86,978282
18,69,1235376
19,92,1717824
20,74,2046384
21,105,2740959
22,138,3997863
23,137,5292924
24,135,6605124
25,143,8138799
26,181,10694157
27,177,13231806
28,192,16328382
29,194,19602714
30,194,22989954
31,208,27013506
32,248,32917890
33,267,39975501
34,300,49155501
35,300,58605501
36,371,73470729
37,291,82870320
38,305,93475170
39,396,111822642
40,431,134113962
41,374,151318710
42,478,180107694
43,445,205652919
44,474,235310151
45,429,260155686
46,548,301597638
47,592,351013062
48,584,400125126
49,632,458840454
50,589,510878604
51,709,587788797
52,710,666428397
53,726,750233481
54,660,820800681
55,674,895756221
56,864,1021167549
57,776,1124139645
58,890,1261965045
59,749,1361262222
60,899,1506738402
61,905,1656619977
62,941,1821319443
63,819,1948093272
64,977,2131362840
